date,total_volume,top_stocks_count,top_volume,volume_ratio,total_stocks,year_month
2025-01-02,1.1019139e+09,14,3.4774275e+08,0.3155807,299,2025-01
2025-01-03,8.693586e+08,14,2.8265616e+08,0.32513183,299,2025-01
2025-01-06,7.4893926e+08,14,2.3636256e+08,0.31559643,299,2025-01
2025-01-07,7.445184e+08,15,2.8065526e+08,0.37696216,300,2025-01
2025-01-08,8.765266e+08,15,3.1204294e+08,0.3559994,300,2025-01
2025-01-09,7.062031e+08,15,2.7441347e+08,0.38857588,300,2025-01
2025-01-10,7.5392666e+08,14,2.8361853e+08,0.3761885,299,2025-01
2025-01-13,7.3136845e+08,14,2.7193917e+08,0.3718224,299,2025-01
2025-01-14,9.255635e+08,14,3.1285046e+08,0.3380108,299,2025-01
2025-01-15,7.690657e+08,14,2.8260928e+08,0.36747092,299,2025-01
2025-01-16,8.5973786e+08,14,3.6153866e+08,0.42052197,299,2025-01
2025-01-17,7.364772e+08,15,3.1581725e+08,0.4288215,300,2025-01
2025-01-20,7.500997e+08,15,2.733026e+08,0.36435503,300,2025-01
2025-01-21,7.1854995e+08,15,2.866979e+08,0.39899507,300,2025-01
2025-01-22,7.593147e+08,15,3.2127152e+08,0.4231072,300,2025-01
2025-01-23,9.5463264e+08,15,3.745785e+08,0.39237973,300,2025-01
2025-01-24,7.9539725e+08,15,2.956059e+08,0.3716456,300,2025-01
2025-01-27,7.786121e+08,15,2.9985546e+08,0.38511533,300,2025-01
2025-02-05,9.111789e+08,15,3.750223e+08,0.41157922,300,2025-02
2025-02-06,9.1989914e+08,14,3.537206e+08,0.38452107,298,2025-02
2025-02-07,1.164714e+09,14,4.0973206e+08,0.35178772,298,2025-02
2025-02-10,9.671297e+08,14,3.6359898e+08,0.37595677,299,2025-02
2025-02-11,8.6008064e+08,14,3.0773747e+08,0.35780072,299,2025-02
2025-02-12,8.799105e+08,14,3.15838e+08,0.35894334,299,2025-02
2025-02-13,9.1624806e+08,14,3.0826432e+08,0.336442,299,2025-02
2025-02-14,9.066305e+08,14,3.4801e+08,0.38384983,299,2025-02
2025-02-17,1.0978022e+09,14,3.9036938e+08,0.3555917,299,2025-02
2025-02-18,1.0199615e+09,14,3.270927e+08,0.32069123,299,2025-02
2025-02-19,9.481485e+08,14,3.3362234e+08,0.3518672,299,2025-02
2025-02-20,8.225417e+08,14,2.664907e+08,0.32398444,299,2025-02
2025-02-21,1.2987372e+09,14,4.8735565e+08,0.3752535,299,2025-02
2025-02-24,1.1803812e+09,14,4.0546026e+08,0.34349942,298,2025-02
2025-02-25,1.0093743e+09,14,3.649551e+08,0.36156568,298,2025-02
2025-02-26,1.0544856e+09,14,3.7159142e+08,0.35239115,298,2025-02
2025-02-27,1.1653983e+09,14,4.4580976e+08,0.38253856,298,2025-02
2025-02-28,1.1329512e+09,14,3.9596496e+08,0.3494987,298,2025-02
2025-03-03,9.706125e+08,14,3.165273e+08,0.3261109,298,2025-03
2025-03-04,8.36169e+08,14,3.0747318e+08,0.36771655,298,2025-03
2025-03-05,8.025742e+08,14,2.6160547e+08,0.32595798,298,2025-03
2025-03-06,1.0746424e+09,14,3.4745107e+08,0.32331786,298,2025-03
2025-03-07,8.520941e+08,14,2.5317368e+08,0.2971194,298,2025-03
2025-03-10,7.7947904e+08,14,2.3632933e+08,0.30318883,299,2025-03
2025-03-11,7.4647565e+08,14,2.4067234e+08,0.3224115,299,2025-03
2025-03-12,7.995728e+08,14,2.4282298e+08,0.30369088,299,2025-03
2025-03-13,8.481966e+08,14,2.9544522e+08,0.34832162,299,2025-03
2025-03-14,1.1454555e+09,14,3.5943725e+08,0.31379417,299,2025-03
2025-03-17,8.727427e+08,14,2.7958912e+08,0.32035688,298,2025-03
2025-03-18,7.1773594e+08,14,2.136115e+08,0.2976185,298,2025-03
2025-03-19,6.918707e+08,14,1.9181918e+08,0.27724716,297,2025-03
2025-03-20,6.942469e+08,14,2.0787734e+08,0.29942855,297,2025-03
2025-03-21,8.83363e+08,14,2.8668557e+08,0.3245388,297,2025-03
2025-03-24,7.7168416e+08,14,2.3413979e+08,0.30341402,297,2025-03
2025-03-25,6.978058e+08,14,2.1200371e+08,0.30381477,297,2025-03
2025-03-26,6.429427e+08,14,2.0480974e+08,0.31855053,297,2025-03
2025-03-27,6.8393517e+08,14,2.2903517e+08,0.33487847,298,2025-03
2025-03-28,6.508709e+08,14,2.2416592e+08,0.3444092,298,2025-03
2025-03-31,8.3446406e+08,14,2.522137e+08,0.30224633,299,2025-03
2025-04-01,7.207141e+08,14,2.1336198e+08,0.29604247,299,2025-04
2025-04-02,5.582299e+08,14,1.5898786e+08,0.28480715,299,2025-04
2025-04-03,7.6648704e+08,14,2.4538029e+08,0.32013625,299,2025-04
2025-04-07,1.6270266e+09,14,5.167687e+08,0.31761542,299,2025-04
2025-04-08,1.4708398e+09,14,4.786055e+08,0.3253961,299,2025-04
2025-04-09,1.4222083e+09,14,4.866093e+08,0.34215054,299,2025-04
2025-04-10,1.1910922e+09,14,3.9776538e+08,0.3339501,299,2025-04
2025-04-11,9.2815565e+08,14,3.281707e+08,0.3535729,299,2025-04
2025-04-14,8.316074e+08,14,2.7677117e+08,0.3328147,299,2025-04
2025-04-15,6.699767e+08,14,2.032034e+08,0.3032992,299,2025-04
2025-04-16,8.1479974e+08,14,2.6216784e+08,0.3217574,299,2025-04
2025-04-17,6.2281216e+08,14,2.0709486e+08,0.33251578,299,2025-04
2025-04-18,5.0184026e+08,14,1.4902197e+08,0.296951,299,2025-04
2025-04-21,5.6590586e+08,14,1.8265771e+08,0.3227705,299,2025-04
2025-04-22,5.909256e+08,14,1.7929123e+08,0.30340746,299,2025-04
2025-04-23,6.361535e+08,14,1.9679331e+08,0.3093488,299,2025-04
2025-04-24,5.871086e+08,14,1.6524571e+08,0.2814568,299,2025-04
2025-04-25,6.237418e+08,14,2.0039104e+08,0.3212724,299,2025-04
2025-04-28,6.094152e+08,14,1.8066118e+08,0.2964501,299,2025-04
2025-04-29,5.515443e+08,14,1.4715557e+08,0.26680642,299,2025-04
2025-04-30,6.868701e+08,14,1.7308933e+08,0.25199717,299,2025-04
2025-05-06,7.545871e+08,14,1.9852766e+08,0.26309446,299,2025-05
2025-05-07,8.005111e+08,14,2.264673e+08,0.28290337,299,2025-05
2025-05-08,6.3571066e+08,14,1.8145331e+08,0.2854338,299,2025-05
2025-05-09,6.135392e+08,14,1.978127e+08,0.3224125,299,2025-05
2025-05-12,7.6320845e+08,14,2.304966e+08,0.30201003,299,2025-05
2025-05-13,7.383762e+08,14,2.1934958e+08,0.29707024,299,2025-05
2025-05-14,9.189559e+08,14,3.076384e+08,0.3347695,299,2025-05
2025-05-15,6.7447245e+08,14,1.932299e+08,0.28649044,299,2025-05
2025-05-16,5.944893e+08,14,1.6560915e+08,0.2785738,299,2025-05
2025-05-19,4.9776794e+08,14,1.4381318e+08,0.28891614,299,2025-05
2025-05-20,5.1887795e+08,14,1.3279705e+08,0.25593117,299,2025-05
2025-05-21,5.542903e+08,14,1.6705643e+08,0.30138797,299,2025-05
2025-05-22,5.232773e+08,14,1.4209062e+08,0.2715398,299,2025-05
2025-05-23,5.94118e+08,14,1.5331398e+08,0.2580531,299,2025-05
2025-05-26,5.252535e+08,14,1.4002774e+08,0.26659077,297,2025-05
2025-05-27,4.7944566e+08,14,1.4902909e+08,0.31083626,297,2025-05
2025-05-28,4.52874e+08,14,1.4513902e+08,0.32048434,297,2025-05
2025-05-29,5.5499046e+08,14,1.6612744e+08,0.29933387,297,2025-05
2025-05-30,5.4934144e+08,14,1.6364802e+08,0.29789853,297,2025-05
2025-06-03,6.825963e+08,14,2.248877e+08,0.3294593,297,2025-06
2025-06-04,6.085705e+08,14,1.94911e+08,0.3202768,297,2025-06
2025-06-05,6.692448e+08,14,2.4530635e+08,0.36654204,297,2025-06
2025-06-06,5.632438e+08,14,1.7996034e+08,0.319507,297,2025-06
2025-06-09,6.914551e+08,14,2.2827954e+08,0.3301437,297,2025-06
2025-06-10,7.520138e+08,14,2.4880165e+08,0.33084717,299,2025-06
2025-06-11,7.321866e+08,14,2.5950674e+08,0.35442704,299,2025-06
2025-06-12,6.915945e+08,14,2.138794e+08,0.30925548,299,2025-06
2025-06-13,9.319497e+08,14,3.066613e+08,0.3290535,299,2025-06
2025-06-16,7.1420314e+08,14,2.4091029e+08,0.3373134,299,2025-06
2025-06-17,6.363703e+08,14,1.9630376e+08,0.3084741,299,2025-06
2025-06-18,6.128735e+08,14,1.7611072e+08,0.2873525,299,2025-06
2025-06-19,6.5988864e+08,14,2.0038984e+08,0.3036722,299,2025-06
2025-06-20,6.074721e+08,14,1.814859e+08,0.29875594,299,2025-06
2025-06-23,7.1835654e+08,14,2.4082547e+08,0.33524504,299,2025-06
2025-06-24,8.697029e+08,14,2.6254675e+08,0.30188096,299,2025-06
2025-06-25,1.03075085e+09,14,3.7641456e+08,0.3651848,299,2025-06
2025-06-26,8.8988326e+08,14,3.1267738e+08,0.351369,299,2025-06
2025-06-27,9.271715e+08,14,3.0005264e+08,0.3236215,299,2025-06
2025-06-30,7.588598e+08,15,2.2947382e+08,0.30239293,300,2025-06
2025-07-01,6.5017894e+08,15,2.0420333e+08,0.3140725,300,2025-07
2025-07-02,7.197969e+08,15,2.2743104e+08,0.31596556,300,2025-07
2025-07-03,7.4723494e+08,15,2.5561304e+08,0.34207854,300,2025-07
2025-07-04,8.193739e+08,15,2.6735811e+08,0.3262956,300,2025-07
2025-07-07,6.503712e+08,15,2.2185069e+08,0.34111395,300,2025-07
2025-07-08,8.023955e+08,15,2.6417013e+08,0.32922682,300,2025-07
2025-07-09,8.4775616e+08,15,2.8568115e+08,0.33698505,300,2025-07
2025-07-10,9.608319e+08,15,3.1233165e+08,0.3250638,300,2025-07
2025-07-11,1.3072603e+09,15,4.5720406e+08,0.34974217,300,2025-07
2025-07-14,8.886665e+08,15,2.7709606e+08,0.3118111,300,2025-07
2025-07-15,9.150548e+08,15,2.928437e+08,0.3200286,300,2025-07
2025-07-16,7.3085376e+08,15,2.2739309e+08,0.3111335,300,2025-07
2025-07-17,7.906541e+08,15,2.5220536e+08,0.3189832,300,2025-07
2025-07-18,8.342478e+08,15,2.4636242e+08,0.29531083,300,2025-07
2025-07-21,9.826872e+08,15,3.0104845e+08,0.30635226,300,2025-07
2025-07-22,1.1598546e+09,15,3.3674704e+08,0.29033557,300,2025-07
2025-07-23,1.2580141e+09,15,3.6597062e+08,0.29091138,300,2025-07
2025-07-24,1.3859318e+09,15,5.280697e+08,0.3810214,300,2025-07
2025-07-25,1.2085466e+09,15,4.54769e+08,0.37629414,300,2025-07
2025-07-28,1.0653265e+09,15,3.6842224e+08,0.34583035,300,2025-07
2025-07-29,1.0786253e+09,15,3.845636e+08,0.3565312,300,2025-07
2025-07-30,1.0673946e+09,15,3.3048534e+08,0.3096187,300,2025-07
2025-07-31,1.245087e+09,15,4.087154e+08,0.32826254,300,2025-07
2025-08-01,9.0554995e+08,15,3.048758e+08,0.33667475,300,2025-08
2025-08-04,7.488285e+08,14,2.2845942e+08,0.30508912,299,2025-08
2025-08-05,7.994752e+08,14,2.5242651e+08,0.31574026,299,2025-08
2025-08-06,8.1493274e+08,14,2.920466e+08,0.35836896,299,2025-08
2025-08-07,8.849813e+08,14,3.1232723e+08,0.35291958,299,2025-08
2025-08-08,8.083207e+08,14,2.7796637e+08,0.34388128,299,2025-08
2025-08-11,8.745756e+08,14,2.5367902e+08,0.29005957,299,2025-08
2025-08-12,9.449587e+08,14,3.467514e+08,0.36694872,299,2025-08
2025-08-13,1.1171936e+09,14,3.5676957e+08,0.31934443,297,2025-08
2025-08-14,1.218951e+09,14,4.19908e+08,0.34448308,297,2025-08
2025-08-15,1.3370566e+09,14,4.5722064e+08,0.34196055,297,2025-08
2025-08-18,1.5490072e+09,14,4.865524e+08,0.31410596,298,2025-08
2025-08-19,1.2270717e+09,14,3.930212e+08,0.32029194,299,2025-08
2025-08-20,1.259423e+09,14,4.0776138e+08,0.3237684,299,2025-08
2025-08-21,1.2328666e+09,14,3.8499546e+08,0.31227666,299,2025-08
2025-08-22,1.6334324e+09,14,5.9836704e+08,0.36632493,299,2025-08
2025-08-25,1.938912e+09,14,6.790259e+08,0.35020977,299,2025-08
2025-08-26,1.3193235e+09,14,4.2259046e+08,0.32030845,299,2025-08
2025-08-27,1.7167683e+09,14,5.7208486e+08,0.3332336,299,2025-08
2025-08-28,1.6949128e+09,14,6.5018464e+08,0.3836095,299,2025-08
2025-08-29,1.8466985e+09,14,6.1723e+08,0.33423433,299,2025-08
2025-09-01,1.5592417e+09,14,4.5379267e+08,0.2910342,298,2025-09
2025-09-02,1.5172193e+09,14,4.7618938e+08,0.31385666,298,2025-09
2025-09-03,1.2538778e+09,14,3.8244486e+08,0.3050097,298,2025-09
2025-09-04,1.5915598e+09,14,5.359622e+08,0.3367528,298,2025-09
2025-09-05,1.2815606e+09,14,4.1361398e+08,0.32274243,298,2025-09
2025-09-08,1.3496979e+09,14,3.997609e+08,0.29618546,298,2025-09
